Date,Close/Last,Volume,Open,High,Low
05/12/2022,$315.6,1498163,$309,$320,$306.43
05/11/2022,$311.63,1320047,$318.28,$326.79,$311.08
05/10/2022,$323.22,1450936,$328.31,$330.58,$316.19
05/09/2022,$318.87,1822878,$322.32,$329.54,$316.33
05/06/2022,$331.35,967785,$331.8,$338.2699,$321
05/05/2022,$333.4,1863124,$342.88,$346,$329.315
05/04/2022,$349.38,1459006,$334.75,$350.47,$326.4301
05/03/2022,$334,1326107,$326.33,$335.04,$323.51
05/02/2022,$326.64,1564449,$321.67,$327.43,$312.165
04/29/2022,$319.26,2425012,$331.73,$342.265,$318.42
04/28/2022,$332.76,1833534,$319.36,$337.16,$316.75
04/27/2022,$314.78,1042577,$312.7,$324,$312.01
04/26/2022,$314.76,1281240,$325.34,$326.41,$314.4
04/25/2022,$331.21,1259930,$322.23,$331.68,$319.36
04/22/2022,$324.28,1420240,$334.69,$336.51,$323.555
04/21/2022,$335.99,1340625,$348.9,$354.97,$334.44
04/20/2022,$345.59,1295184,$345.09,$351.8795,$345
04/19/2022,$337.82,1319700,$329.45,$338.95,$324.56
04/18/2022,$327.87,984571,$320,$330.01,$319.4
04/14/2022,$321.48,1486326,$336,$337.3899,$320.92
04/13/2022,$336.52,1137760,$331.6,$339.64,$329.555
04/12/2022,$330.25,1164345,$340,$345.135,$328.2
04/11/2022,$331.47,1484048,$336.91,$339.17,$331.19
04/08/2022,$341.21,1550987,$349.55,$350.18,$340.68
04/07/2022,$353.08,1315133,$343.33,$356.385,$342.95
04/06/2022,$344.25,1780858,$338.93,$349.45,$333.485
04/05/2022,$345.52,1690028,$364.19,$365.475,$343.19
04/04/2022,$367.05,904212,$361.75,$368.33,$360.4
04/01/2022,$360.27,1183043,$369.2,$370.05,$354.785
03/31/2022,$366.06,1319885,$374.85,$378.95,$365.6
03/30/2022,$373.82,1122971,$383.4,$383.45,$371.57
03/29/2022,$384.33,1061982,$381.05,$386.93,$377.4485
03/28/2022,$375.35,1088743,$369.18,$375.65,$363.1
03/25/2022,$366.44,942253,$363.4,$368.88,$359.37
03/24/2022,$365.89,1066890,$353.99,$366.11,$350.16
03/23/2022,$348.73,1163432,$360.24,$360.24,$348.27
03/22/2022,$361.03,842459,$356.59,$364.65,$356.59
03/21/2022,$356.28,1333298,$360.35,$364.07,$350.81
03/18/2022,$365.05,2996354,$350.56,$366.42,$346.86
03/17/2022,$352.61,1014451,$346.43,$354.39,$345.02
03/16/2022,$350.92,1549505,$337.01,$351.3,$333.255
03/15/2022,$333.22,1333487,$323.68,$334.13,$323.3801
03/14/2022,$320,1558723,$324.23,$331.14,$318.01
03/11/2022,$323.27,958881,$336.1,$338.0244,$322.78
03/10/2022,$328.79,1555920,$330.74,$334.42,$322.73
03/09/2022,$339.56,1521253,$331.11,$341.99,$330.97
03/08/2022,$321.82,1805182,$316.25,$332.86,$310.55
03/07/2022,$314.14,1641104,$334.51,$337.49,$313.9
03/04/2022,$332.1,1566567,$338.74,$341,$326.95
03/03/2022,$342.53,1028596,$349.03,$349.58,$338.32
03/02/2022,$346.07,1289520,$342.31,$348,$337.27
03/01/2022,$336.79,1427546,$346.58,$349.35,$333.15
02/28/2022,$348.5,1883013,$353.42,$356.47,$341.13
02/25/2022,$357.65,1578349,$356.7,$359.87,$350.85
02/24/2022,$357.89,1676361,$331.7,$358.28,$329.26
02/23/2022,$343.78,1636805,$359.33,$364.23,$342.2
02/22/2022,$355.74,1667015,$355.06,$365.32,$348.615
02/18/2022,$358.3,1368928,$370,$370,$353.25
02/17/2022,$366.05,1821818,$379.29,$381.33,$365.06
02/16/2022,$385.65,1600180,$381.95,$387.52,$377.5
02/15/2022,$387.5,1565262,$373.48,$389.31,$372.61
02/14/2022,$365.16,1264196,$370.17,$377.94,$359.32
02/11/2022,$369.23,1657808,$391.14,$393.9,$365.08
02/10/2022,$389.71,1326485,$390.45,$405.78,$387.3
02/09/2022,$400.13,1460882,$393.53,$401.22,$390
02/08/2022,$385.22,1975224,$375.17,$386.34,$372.92
02/07/2022,$375.6,1084108,$378.49,$381.565,$374.11
02/04/2022,$377.38,1129212,$373.09,$380.61,$368.11
02/03/2022,$373.68,1868420,$385.58,$389.235,$372.46
02/02/2022,$395.46,1322253,$391.21,$396.75,$385.27
02/01/2022,$388.03,1357698,$389.82,$391.5,$375.26
01/31/2022,$389.27,2216504,$366.32,$389.73,$366.155
01/28/2022,$366.65,2111651,$352.55,$366.937,$344.03
01/27/2022,$361.8,3078105,$375.797,$378.84,$358.955
01/26/2022,$380.6,2381823,$383.78,$398.04,$374.18
01/25/2022,$370.11,1782846,$378.01,$382,$369.65
01/24/2022,$391.1,3310968,$367.69,$393.57,$362.9
01/21/2022,$373.03,1934860,$379.02,$388.5,$370.64
01/20/2022,$383.28,1578604,$400,$407.62,$382.32
01/19/2022,$393.19,1511487,$417.77,$421.86,$392.84
01/18/2022,$412.98,1710315,$437.149,$438.27,$412.005
01/14/2022,$445,1421994,$419.17,$445.52,$418.79
01/13/2022,$421.48,2290414,$446.25,$457.12,$420.41
01/12/2022,$433.86,1213062,$429.62,$436.99,$429.62
01/11/2022,$425.61,1018474,$414.86,$425.87,$410.5
01/10/2022,$418.73,1341141,$410.21,$419.52,$404.7
01/07/2022,$416.91,1155021,$429.81,$435.53,$416.19
01/06/2022,$432.22,1268696,$420.63,$435.05,$417.77
01/05/2022,$420.74,1174041,$432.16,$435.09,$419.68
01/04/2022,$431.24,964994,$434.38,$436.84,$417.6
01/03/2022,$435.09,1044338,$431.14,$435.64,$425.61
12/31/2021,$430.11,525096,$427.9,$431.93,$427.26
12/30/2021,$427.08,614993,$435.45,$436,$426.29
12/29/2021,$435.08,613933,$432.78,$438.91,$431.53
12/28/2021,$432.15,751943,$441.54,$442.435,$430.32
12/27/2021,$440.17,1302969,$422.23,$441.55,$422.01
12/23/2021,$420.76,877966,$415.23,$424.49,$415.031
12/22/2021,$413.21,719616,$406.28,$413.38,$403.5466
12/21/2021,$409.4,2267046,$403.15,$412.2,$401.06
12/20/2021,$385.5,1850203,$385.88,$393.13,$381.63
12/17/2021,$391.55,3229103,$396.34,$397.48,$387
12/16/2021,$397.31,2306701,$414,$414.99,$395.09
12/15/2021,$409.91,2186854,$400.44,$411.54,$392.77
12/14/2021,$399.46,993385,$395.79,$402.3,$394.18
12/13/2021,$399.75,1189395,$410.69,$410.77,$396.83
12/10/2021,$410.69,833788,$415.17,$417.55,$404.09
12/09/2021,$409.37,1091617,$418.25,$420.12,$408.82
12/08/2021,$421.28,952206,$418.575,$422.31,$413.295
12/07/2021,$419.15,1348130,$406.56,$420.48,$405.765
12/06/2021,$399.53,1284391,$402.92,$403.42,$390.17
12/03/2021,$400.68,1313073,$407.62,$410.91,$394.61
12/02/2021,$402.53,1610003,$408.72,$415.87,$401.21
12/01/2021,$412.18,1637284,$415.25,$428.22,$408.18
11/30/2021,$408.13,1548653,$412.66,$418.43,$405.82
11/29/2021,$413.84,1084488,$402.81,$414.61,$402.81
11/26/2021,$398.96,756305,$406.71,$410.1,$397.04
11/24/2021,$413.3,730530,$410.39,$413.35,$401.12
11/23/2021,$411.98,1161599,$407.14,$412.36,$400.7972
11/22/2021,$407.9,1604742,$423.91,$427.235,$407.39
11/19/2021,$422.38,746344,$422.03,$426.84,$420.87
11/18/2021,$423.24,887720,$422.83,$424.84,$417.36
11/17/2021,$419.84,1476601,$421.77,$424.045,$417.59
11/16/2021,$423.2,1150998,$413.01,$424.02,$411.17
11/15/2021,$413.06,654176,$418,$418.85,$410.53
11/12/2021,$413.28,627402,$412.47,$417.34,$409.795
11/11/2021,$412.79,620204,$410.21,$414.2193,$408.0006
11/10/2021,$404.35,1169784,$410.04,$418,$403.34
11/09/2021,$417.11,837900,$412.93,$417.6,$410.421
11/08/2021,$412.84,1247784,$416.75,$419.33,$410.59
11/05/2021,$416.73,1655537,$410.32,$418.4,$405.63
11/04/2021,$409.08,1703794,$394.08,$409.65,$393.67
11/03/2021,$393.67,1237327,$390,$393.87,$383.06
11/02/2021,$388.75,1186406,$381.04,$388.82,$381.01
11/01/2021,$380.26,2049459,$373,$380.49,$369.16
10/29/2021,$372.76,1604216,$352.23,$374.11,$351.975
10/28/2021,$355.34,2350805,$366.435,$388.99,$352.5
10/27/2021,$340.57,1196157,$340.96,$345.43,$336.28
10/26/2021,$341.97,868038,$349.12,$349.12,$337.48
10/25/2021,$343.23,1057465,$347.71,$347.71,$341.68
10/22/2021,$343.03,1856445,$342.12,$357.92,$340.535
10/21/2021,$335.51,870642,$326.88,$336.13,$323.39
10/20/2021,$331.03,702020,$331.71,$333.9456,$328.22
10/19/2021,$332.14,820594,$325.7,$332.715,$325.56
10/18/2021,$326.77,1377830,$326.68,$328.23,$322.33
10/15/2021,$329.1,772540,$330.17,$332.39,$327.89
10/14/2021,$329.78,959105,$331.31,$331.31,$326.61
10/13/2021,$320.41,690566,$323.86,$326,$319.09
10/12/2021,$319.55,855557,$327.51,$328.29,$317.99
10/11/2021,$325.2,528777,$324.57,$331.21,$324.535
10/08/2021,$326.05,643140,$332.29,$332.37,$324.82
10/07/2021,$330.1,811890,$333.49,$336.17,$329.32
10/06/2021,$329.1,821069,$326.79,$330.22,$324.36
10/05/2021,$331.23,774291,$332.96,$334.44,$328.24
10/04/2021,$329.07,1147634,$332.12,$332.62,$325.59
10/01/2021,$335.02,904673,$336.715,$338.45,$328.78
09/30/2021,$334.51,963224,$338.28,$342.23,$333.9
09/29/2021,$335.3,1202286,$348.68,$349.74,$334.81
09/28/2021,$347.03,1620612,$352.34,$356.94,$346.33
09/27/2021,$365.78,843971,$364.51,$369.4125,$362.8
09/24/2021,$369.53,433879,$367.67,$370.65,$366.79
09/23/2021,$370.98,948283,$366.66,$372.406,$365.77
09/22/2021,$365.51,762376,$359.13,$366.31,$356
09/21/2021,$356.58,1160397,$358.95,$359.44,$349.64
09/20/2021,$355.18,1312342,$360.4,$361.56,$349.77
09/17/2021,$369.81,2162812,$374.4,$374.6,$366.61
09/16/2021,$372.02,1970672,$365,$373.73,$363.2
09/15/2021,$367.34,1566262,$357.35,$367.54,$354.05
09/14/2021,$356.39,1349443,$360.52,$364.79,$353.51
09/13/2021,$355.6,974258,$354.61,$358.32,$349.3
09/10/2021,$350.57,1241366,$351,$359.095,$350.31
09/09/2021,$347.83,1200102,$335.92,$348.89,$335.57
09/08/2021,$336.75,774816,$341.16,$341.16,$334.56
09/07/2021,$341.81,570254,$342.63,$343.079,$337.91
09/03/2021,$341.75,481880,$336.11,$342.5102,$336.11
09/02/2021,$337.71,470595,$337.89,$339.66,$335.36
09/01/2021,$335.45,668129,$340.95,$341.5901,$335.14
08/31/2021,$339.96,1003168,$343.67,$343.67,$333.725
08/30/2021,$342.11,516073,$345.34,$346.9,$338.8276
08/27/2021,$342.93,692604,$335.63,$343.53,$334.86
08/26/2021,$333.75,495478,$334.59,$336.73,$332.09
08/25/2021,$334.02,839362,$325.7,$335.54,$325.7
08/24/2021,$328,621457,$329.68,$334.3,$326.37
08/23/2021,$328.54,1274908,$323.96,$329.61,$323.38
08/20/2021,$319.97,794282,$324.73,$327.44,$315.46
08/19/2021,$322.35,729934,$314.79,$323.6,$313.5
08/18/2021,$317.55,1117992,$320.515,$326.48,$317.165
08/17/2021,$322.45,1255600,$325.86,$327.02,$316.86
08/16/2021,$329.19,1073578,$327.03,$331.54,$325.8301
08/13/2021,$327.88,596484,$327.14,$329.13,$325.8
08/12/2021,$328.51,1356735,$337.5,$339.85,$328.18
08/11/2021,$342.66,832303,$343.85,$345.03,$336.29
08/10/2021,$342,1476887,$351.24,$352.04,$340.6
08/09/2021,$351.52,748685,$353.52,$356.07,$351.3
08/06/2021,$353.35,908367,$351.54,$354.8,$351.14
08/05/2021,$353.71,730384,$355.54,$356.63,$349.505
08/04/2021,$353.8,1161855,$346.89,$356,$346.89
08/03/2021,$346.89,925388,$347.23,$349.52,$343
08/02/2021,$345.91,1128233,$348.16,$356.7,$344.79
07/30/2021,$348.16,2656975,$339.49,$356.71,$335.56
07/29/2021,$319.43,1119101,$313.45,$320.15,$310.37
07/28/2021,$315.57,646809,$311,$316.91,$309.47
07/27/2021,$309,1081363,$315.3,$315.3,$302.53
07/26/2021,$318.63,655103,$320.17,$322.33,$315.61
07/23/2021,$320.76,705156,$316.93,$322,$315.45
07/22/2021,$314.36,790177,$315,$318.14,$311.99
07/21/2021,$316.88,1607701,$304.34,$318.3,$303.86
07/20/2021,$302.77,1202664,$295.3,$304.83,$292.68
07/19/2021,$294.33,1332234,$289.93,$294.36,$287.44
07/16/2021,$293.22,1794463,$305.28,$307.885,$292.3
07/15/2021,$303.75,910334,$308.21,$310,$301.72
07/14/2021,$309.12,763067,$313.75,$318.3,$308.46
07/13/2021,$311.61,568363,$312.12,$315,$310
07/12/2021,$314.02,883288,$310.02,$314.29,$308.9
07/09/2021,$308.76,726712,$303.71,$309.58,$301.6
07/08/2021,$303.09,896055,$301.03,$305.13,$298.73
07/07/2021,$307.06,988925,$314.12,$314.94,$305.88
07/06/2021,$311.25,1071379,$312.71,$316.2833,$305.26
07/02/2021,$311.82,1053159,$313.73,$314,$308.01
07/01/2021,$311.74,1417132,$324.15,$324.3,$311.53
06/30/2021,$324.21,697625,$325,$325.01,$320.87
06/29/2021,$325.2,544802,$322,$326.03,$321.535
06/28/2021,$322.26,861794,$319.25,$325.49,$318.4
06/25/2021,$316.26,3921198,$315.62,$318.33,$313.96
06/24/2021,$315.89,730805,$313.49,$316.15,$312.28
06/23/2021,$310.86,656663,$308.86,$312.95,$308.62
06/22/2021,$308.62,672251,$307.64,$309.58,$304.21
06/21/2021,$308.81,882360,$306.02,$309.61,$302.48
06/18/2021,$304.48,1925879,$313.88,$314.72,$303.16
06/17/2021,$318.42,919826,$315.07,$321.3303,$313.14
06/16/2021,$315.9,856295,$322.87,$323.29,$313.23
06/15/2021,$320.59,718447,$324.45,$326.5899,$319.2871
06/14/2021,$325.21,634349,$320.93,$325.91,$318.93
06/11/2021,$320.11,770324,$320.65,$321.3499,$317.4
06/10/2021,$319.31,690882,$316.12,$320.6,$314.53
06/09/2021,$314.16,747975,$321.13,$322.82,$313.86
06/08/2021,$313.8,615034,$322.6,$323.6453,$311.85
06/07/2021,$318.55,1098487,$315.38,$319.33,$312.63
06/04/2021,$316.99,898366,$311.38,$318.07,$311.155
06/03/2021,$308.78,1243019,$311.78,$312.46,$307.33
06/02/2021,$315.59,881726,$316.1,$318.478,$312.8
06/01/2021,$315.73,1024747,$319.89,$324.75,$314.39
05/28/2021,$316.89,885477,$318.19,$320.31,$316.46
05/27/2021,$316.54,1195136,$316.85,$321.58,$315.9
05/26/2021,$317.39,1078116,$319.2,$322,$315.71
05/25/2021,$317.92,1258312,$320.13,$323.91,$316.54
05/24/2021,$317.55,1209209,$314.34,$320.12,$313.81
05/21/2021,$310.14,1049653,$314.97,$314.97,$308.71
05/20/2021,$313.36,1449887,$305.43,$315,$305.43
05/19/2021,$303.94,1300971,$288.05,$304.24,$286.58
05/18/2021,$293.92,1087664,$302.37,$302.99,$293.48
05/17/2021,$297.72,1352786,$298.45,$300.85,$292.175
05/14/2021,$305.75,1508053,$298.48,$309.09,$296.02
05/13/2021,$296.76,1533683,$294.54,$300.67,$293.73
05/12/2021,$286.74,1400375,$292.54,$295.76,$285.89
05/11/2021,$300.28,987731,$291.01,$301.56,$289.7201
05/10/2021,$299.9,1576939,$309.95,$313.88,$299.46
05/07/2021,$319.7,848306,$319.99,$323,$316.66
05/06/2021,$315.89,935229,$309.51,$316.28,$307.69
05/05/2021,$311.92,1157328,$313.17,$316.74,$306.395
05/04/2021,$307.94,1592347,$305.824,$308.09,$299.42
05/03/2021,$311.23,1412222,$317.62,$318.8,$308.49
04/30/2021,$315.35,1434141,$315.03,$321.655,$312.92
04/29/2021,$326.36,1295145,$325.92,$328.7281,$318.6601
04/28/2021,$324.84,983162,$329.5,$330.74,$324.23
04/27/2021,$330.49,939916,$340,$340,$329.26
04/26/2021,$335.81,1039447,$334.01,$337.57,$330.9925
04/23/2021,$332.07,1182069,$327.99,$334.1,$326.69
04/22/2021,$325.08,1045460,$329.45,$331.87,$322.76
04/21/2021,$331.79,1697765,$322.45,$332.22,$319.57
04/20/2021,$318.92,1477155,$323.11,$325.84,$317.78
04/19/2021,$324.39,1551747,$330.96,$333.62,$318.28
04/16/2021,$333,958199,$339.07,$339.86,$332.98
04/15/2021,$338.54,1198129,$341.79,$342.16,$335.71
04/14/2021,$336.5,1186228,$340,$346.67,$335.18
04/13/2021,$344.13,1226421,$349.52,$349.52,$339.12
04/12/2021,$345.1,1376308,$349.57,$350.7,$343.325
04/09/2021,$352.85,913937,$351.92,$355.08,$348.23
04/08/2021,$354.04,1124972,$354,$354.27,$348.42
04/07/2021,$348.04,985534,$347.71,$352.7,$343.68
04/06/2021,$346.6,1690443,$353.12,$353.8,$340.56
04/05/2021,$355.08,1496133,$349.05,$359.69,$346.07
04/01/2021,$347.29,1885789,$337,$347.79,$337
03/31/2021,$330.4,1811848,$321.75,$333.3,$321.17
03/30/2021,$317.07,924068,$312.81,$318.51,$311.69
03/29/2021,$314.31,1428493,$317.73,$317.85,$306.88
03/26/2021,$319.94,1650773,$298.71,$320.25,$298.71
03/25/2021,$299.41,1187968,$293.03,$301,$286.94
03/24/2021,$297.89,1669223,$310.499,$317,$297.55
03/23/2021,$297.06,1766327,$306.51,$307.48,$296.11
03/22/2021,$305.36,1819962,$300,$308.13,$298.306
03/19/2021,$292.88,3220744,$287.97,$297.24,$284.49
03/18/2021,$288.74,2041192,$298.3,$299.75,$287.78
03/17/2021,$305.39,1906301,$296.18,$309.91,$291.12
03/16/2021,$301.95,1544177,$299.72,$305.9605,$298.88
03/15/2021,$298.96,1321958,$293.47,$299.32,$291.42
03/12/2021,$294.27,1298410,$288.87,$294.78,$285.97
03/11/2021,$296.36,1709699,$294.0522,$301.9691,$290
03/10/2021,$283.45,1688239,$299.76,$300.375,$282.73
03/09/2021,$294.1,1944176,$283.63,$296.29,$282.29
03/08/2021,$274.04,2182464,$291.01,$293.83,$273.24
03/05/2021,$295.87,1631399,$292.69,$297.25,$278.18
03/04/2021,$287.62,1655325,$302.18,$306.26,$282.33
03/03/2021,$303.81,1155398,$310.49,$315.06,$303.53
03/02/2021,$309.82,1176122,$325.88,$326.68,$309.65
03/01/2021,$325.99,1293996,$316.016,$326.4,$315.01
02/26/2021,$311.23,1316296,$311.32,$314.7331,$303.17
02/25/2021,$304.79,1528269,$322.69,$326.35,$302.48
02/24/2021,$328.43,1170304,$313.84,$328.73,$310.08
02/23/2021,$318.78,1745850,$307.74,$321.47,$303.67
02/22/2021,$316.16,1123135,$325,$326.98,$313.85
02/19/2021,$330.67,1512402,$330.62,$338,$327.99
02/18/2021,$325.16,1005813,$326.1,$328,$321.135
02/17/2021,$330.3,1063010,$333.26,$334.7,$323.37
02/16/2021,$337.18,1395924,$332.5,$342.21,$332.5
02/12/2021,$331.81,1503138,$321.53,$334.765,$318.92
02/11/2021,$324.48,2285695,$299.41,$326.49,$299.41
02/10/2021,$297.61,547082,$302.13,$304.14,$296
02/09/2021,$298.31,735482,$300.29,$305.45,$296.52
02/08/2021,$302.26,1018152,$289.94,$302.59,$288.66
02/05/2021,$288.03,890442,$296.03,$298.145,$286.59
02/04/2021,$294.23,1401821,$288.443,$298.18,$286.32
02/03/2021,$286.3,1279883,$301.6,$301.6,$285.54
02/02/2021,$298.78,1106911,$296,$299.62,$293.6184
02/01/2021,$292.62,1052592,$286.02,$294.02,$282.49
01/29/2021,$280.07,1163789,$287.06,$289.2,$279.72
01/28/2021,$291.1,1021246,$290.73,$296.74,$288.445
01/27/2021,$284.44,1658044,$297.3,$298.81,$283.0528
01/26/2021,$303.55,832412,$310,$310.74,$302.82
01/25/2021,$308.9,955821,$309.4,$312.33,$303.3
01/22/2021,$305.01,725154,$305.3,$309.355,$304.47
01/21/2021,$305.2,1063124,$307.96,$308.9,$300.43
01/20/2021,$304.33,1019699,$316.921,$317.6,$302.25
01/19/2021,$314.08,1274958,$307.84,$316.8,$307.84
01/15/2021,$304.13,1606579,$303.49,$304.81,$296
01/14/2021,$303.88,2431231,$302.82,$315.87,$301.91
01/13/2021,$290.1,1154581,$288.75,$293.52,$285.16
01/12/2021,$290.99,1323577,$289,$296.3,$287
01/11/2021,$289.11,1203959,$281.35,$290.85,$278.01
01/08/2021,$283.18,1051805,$282.22,$287.34,$279.56
01/07/2021,$278.19,1011896,$268.69,$279.35,$268.355
01/06/2021,$265.21,850554,$262.45,$270.94,$261.81
01/05/2021,$265.79,1074856,$260.19,$266.3199,$258.96
01/04/2021,$260.33,1252064,$262.06,$270.28,$257.7
12/31/2020,$258.91,728028,$258.07,$259.99,$255.555
12/30/2020,$260.15,641508,$256.64,$262.37,$255.2063
12/29/2020,$254.36,579207,$258.04,$258.76,$252.02
12/28/2020,$257.58,497360,$260.79,$261.5,$257.21
12/24/2020,$259.08,367241,$254.86,$259.08,$253.97
12/23/2020,$252.79,676409,$258.45,$258.57,$252.52
12/22/2020,$257.59,753371,$259.94,$261,$256.26
12/21/2020,$260.77,1023195,$258.72,$262.05,$258
12/18/2020,$262.15,2220195,$258.75,$262.88,$257.28
12/17/2020,$259.68,1355109,$262.88,$263.35,$257.71
12/16/2020,$260.55,699125,$261.37,$261.51,$257.7553
12/15/2020,$261.01,774086,$263.99,$264.79,$259.59
12/14/2020,$260.13,1039532,$257.47,$263.87,$257.47
12/11/2020,$257.63,1122835,$253.6,$257.88,$252.26
12/10/2020,$255.98,1009689,$255.15,$259.12,$253.593
12/09/2020,$256.49,1197161,$266.61,$268.89,$253.84
12/08/2020,$266.94,712722,$267.08,$268.74,$264.69
12/07/2020,$266.7,693721,$265.23,$267.93,$262.8
12/04/2020,$263.7,748968,$258.15,$264.17,$258.085
12/03/2020,$257.39,518592,$258.65,$261.85,$257.045
12/02/2020,$256.32,849071,$254.78,$258.52,$254.27
12/01/2020,$256.66,903485,$254.46,$258.72,$252.59
